name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,
"Akarnania_Vernant14_7                                               ",20.974,39.139,20.852,39.178,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Akarnania_Vernant14_8                                               ",20.852,39.178,20.708,39.124,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Akhurian_fault                                                      ",43.624,40.579,43.959,40.968,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"Aktug13_az_LCF_1                                                    ",44.907,41.446,45.582,40.995,30,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Aktug13_az_LCF_2                                                    ",45.582,40.995,45.887,40.862,30,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Aktug13_az_LCF_3                                                    ",45.887,40.862,46.584,40.571,30,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Aktug13_az_LCF_4                                                    ",46.584,40.571,46.925,40.093,30,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Aktug13_az_LCF_5                                                    ",46.925,40.093,47.437,39.583,30,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Aktug13_az_NCF_1                                                    ",49.309,40.703,48.961,41.058,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Aktug13_az_NCF_2                                                    ",48.961,41.058,48.667,41.213,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Aktug13_az_NCF_3                                                    ",48.667,41.213,48.352,41.562,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Aktug13_az_NCF_4                                                    ",48.352,41.562,48.109,42,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"Aktug13_bk2_2                                                       ",37.993,39.576,35.898,39.074,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
