lon,lat,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,
91.693,32.275,ANDU_GPS,35.51,6.344,1.18,0.93,0,0,1,
91.821,37.886,MANG_GPS,18.4,4.006,3.45,1.94,0,0,1,
91.85,25.531,SHIL_GPS,33.958,27.904,7.6,3.8,0,0,1,
91.857,33.233,TANG_GPS,37.024,5.189,1.23,0.99,0,0,1,
91.858,33.234,TANG_GPS,37.024,6.554,1.06,0.92,0,0,1,
91.98,32.99,JB52_GPS,37.551,5.104,1.1,1,0,0,1,
91.984,32.985,TGLA_GPS,33.242,3.85,3.41,3.17,0,0,1,
91.985,32.986,JB52_GPS,33.537,4.392,1.1,1,0,0,1,
92.035,31.468,NAGQ_GPS,37.278,6.984,1.48,1.21,0,0,1,
92.036,31.469,NAGQ_GPS,37.3,8.215,1.33,1.14,0,0,1,
92.056,33.649,YANS_GPS,35.199,4.487,1.2,0.96,0,0,1,
92.08,49.97,ULAA_GPS,10.652,-4.586,1.1,1,0,0,1,
92.446,34.213,TUOT_GPS,36.462,-0.891,2.01,1.4,0,0,1,
92.447,34.214,TUOT_GPS,36.239,0.401,1.9,1.35,0,0,1,
92.79,55.99,KIT3_GPS,6.978,-11.448,1.6,1.5,0,0,1,
92.793,55.993,KSTU_GPS,3.068,-6.2,1.61,1.56,0,0,1,
92.794,55.993,KSTU_GPS,6.32,-7.45,0.86,0.86,0,0,1,
92.853,34.63,ERDA_GPS,32.995,0.565,2.93,2.19,0,0,1,
92.854,34.63,ERDA_GPS,33.59,1.797,2.67,2.07,0,0,1,
93.003,39.287,G165_GPS,16.595,-1.443,1.2,1.1,0,0,1,
93.05,35.09,JB51_GPS,30.228,2.908,1.1,1,0,0,1,
93.051,35.087,WUDA_GPS,29.463,2.442,3.45,3.19,0,0,1,
93.052,35.088,JB51_GPS,30.529,1.66,1,1,0,0,1,
93.236,29.88,GNGB_GPS,42.433,0.599,3.93,3.36,0,0,1,
93.237,29.881,GNGB_GPS,44.386,1.592,3.91,3.34,0,0,1,
93.41,38.81,JB31_GPS,20.481,-1.957,1.1,1,0,0,1,
93.412,38.809,JB31_GPS,20.481,-0.917,1,1,0,0,1,
93.489,39.645,G163_GPS,15.072,-2.412,1.2,1.1,0,0,1,
93.499,37.902,G170_GPS,22.301,0.689,1.5,1.2,0,0,1,
93.57,52.44,ARAD_GPS,7.376,-5.941,1.4,1.3,0,0,1,
93.626,42.81,HAMI_GPS,17.957,-9.907,3.34,3.18,0,0,1,
93.63,42.81,JB43_GPS,16.377,-2.535,1,1,0,0,1,
93.783,31.89,SOXI_GPS,38.847,4.347,1.48,1.05,0,0,1,
93.9,21.38,MIND_GPS,26.476,19.492,1.3,0.7,0,0,1,
93.912,35.52,BUDO_GPS,29.199,0.259,2.82,2.27,0,0,1,
93.913,35.52,BUDO_GPS,29.854,0.567,3.72,2.65,0,0,1,
94.097,31.917,J019_GPS,37.497,0.429,1.4,1.1,0,0,1,
94.355,38.809,G167_GPS,18.784,0.447,1.4,1.2,0,0,1,
94.555,39.716,G162_GPS,16.326,-0.24,1.4,1.2,0,0,1,
94.758,40.156,DUNH_GPS,17.807,-0.435,3.07,1.69,0,0,1,
94.813,40.172,G161_GPS,15.676,-1.122,1.2,1.1,0,0,1,
94.83,36.346,GLMD_GPS,25.631,1.141,3.41,2.4,0,0,1,
94.856,39.514,SUBE_GPS,15.128,-1.496,1.64,1.15,0,0,1,
94.857,39.514,G164_GPS,17.392,-2.119,1.4,1.2,0,0,1,
94.87,36.43,JB30_GPS,21.283,2.189,1.1,1,0,0,1,
94.873,36.433,JB30_GPS,24.947,1.882,1,1,0,0,1,
94.874,36.432,GOLM_GPS,21.663,2.025,0.97,0.77,0,0,1,
94.998,38.057,G169_GPS,19.877,0.091,1.4,1.2,0,0,1,
95.02,50.25,ERZN_GPS,7.509,-6.795,1.4,1.3,0,0,1,
95.257,32.894,J008_GPS,38.448,-2.179,2,2,0,0,1,
95.29,22.05,KWEH_GPS,20.857,11.732,1.1,0.6,0,0,1,
95.376,37.833,DACA_GPS,21.562,1.251,1.61,1.15,0,0,1,
