other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,
0,0,0,0,0,0,"bennett1                ",279.633,7.685,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"bennett2                ",281.428,8.538,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"biwa                    ",136.309,35.06,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"bologna                 ",11.655,44.482,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"carson                  ",240.652,38.762,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"central_tibet           ",87.398,34.036,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"chubu                   ",137.045,35.653,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"cnv                     ",242.745,39.951,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"coso                    ",242.152,35.483,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"dsfsdf                  ",103.818,34.379,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"east-central-tibet      ",95.363,31.879,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"echubu                  ",137.579,36.144,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"fonseca                 ",272.167,13.306,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"fukushima               ",138.972,34.448,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"greenwood               ",237.351,38.892,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"hima-block              ",90.365,29.598,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"honduras                ",270.859,14.341,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"iida                    ",139.13,38.549,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"kuril-north             ",141.012,44.169,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"kuwana                  ",135.98,33.222,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"kyrgyz_sliver           ",70.031,43.177,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"labasin                 ",241.819,34.037,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"lafayette               ",237.423,38.399,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"lebanon1                ",35.702,34.16,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"lebanon2                ",35.996,33.831,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"lms_01                  ",100.582,33.027,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"makran                  ",61.593,25.904,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"mendocino-ftb           ",235.361,41.359,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"near_karakoram          ",79.709,35.404,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"new_e_syntaxis          ",97.835,24.352,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"north_of_eastern_kunlun ",101.241,35.045,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"northeastern_Sicily     ",14.231,38.275,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"northern                ",103.878,39.08,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"okinawa                 ",127.081,25.584,0,0,0,0,0,0,0,0,
