lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,
242.719,34.535,-0.013,20,"P051_PBO",-13.834,13.383,0.7,0.5,1,0,1,0,0,0,
242.758,34.537,-0.07,20,"P060_PBO",-14.413,14.774,1,1.05,1,0,1,0,0,0,
240.816,34.541,0,3,"P081_PBO",-28.342,24.126,0.3,0.5,1,0,1,0,0,0,
239.384,34.556,-0.006,3,"OPCX_PBO",-32.538,34.83,0.355,0.359,1,0,1,0,0,0,
240.736,34.566,0.052,3,"P266_PBO",-29.5,25.324,1.29,1.17,1,0,1,0,0,0,
241.259,34.569,-0.034,3,"P231_PBO",-24.969,21.394,0.514,0.494,1,0,1,0,0,0,
239.373,34.571,-0.031,3,"P210_PBO",-29.703,36.709,1.32,1.23,1,0,1,0,0,0,
240.018,34.582,-0.002,3,"P508_PBO",-32.544,32.745,0.9,0.5,1,0,1,0,0,0,
239.383,34.593,-0.037,3,"P215_PBO",-31.057,35.479,1.35,1.23,1,0,1,0,0,0,
243.571,34.594,-0.013,23,"P037_PBO",-8.129,7.763,0.2,0.2,1,0,1,0,0,0,
240.674,34.6,0.002,3,"ECHO_PBO",-29.241,21.43,1.7,1.7,1,0,1,0,0,0,
254.816,34.601,0,1,"YAMB_GPS",-1.402,-0.103,0.5,0.5,1,0,1,0,0,0,
242.612,34.607,-0.01,20,"BLW2_PBO",-14.391,15.547,0.552,0.557,1,0,1,0,0,0,
242.89,34.621,-0.007,20,"RG20_PBO",-13.131,13.479,0.3,0.3,1,0,1,0,0,0,
241.755,34.629,-0.029,20,"P272_PBO",-19.131,19.353,1.15,1.17,1,0,1,0,0,0,
242.77,34.63,-0.064,20,"P421_PBO",-12.928,14.004,1.12,1.17,1,0,1,0,0,0,
242.569,34.635,-0.079,20,"P181_PBO",-14.071,14.932,1.76,1.81,1,0,1,0,0,0,
240.7,34.636,-0.046,3,"P212_PBO",-27.65,24.475,0.97,0.95,1,0,1,0,0,0,
242.172,34.64,-0.01,20,"WEIR_PBO",-14.233,15.395,0.2,0.3,1,0,1,0,0,0,
243.375,34.644,-0.008,6,"RG04_PBO",-10.928,8.768,0.3,0.2,1,0,1,0,0,0,
243.068,34.669,-0.017,20,"SC01_PBO",-11.928,11.875,0.2,0.2,1,0,1,0,0,0,
