lon,lat,east_vel,north_vel,east_sig,north_sig,correlation,other1,tog,name,up_vel,up_sig,east_adjust,north_adjust,up_adjust
242.896,34.022,-17.684,20.569,1.08,1.11,-0.054,21,true,P674_PBO,0,1,0,0,0
241.651,34.024,-27.257,26.607,0.4,0.4,-0.003,4,true,P360_PBO,0,1,0,0,0
240.215,34.029,-30.977,35.222,0.579,0.572,-0.007,3,true,P019_PBO,0,1,0,0,0
242.557,34.032,-23.122,24.682,0.92,0.93,-0.061,16,true,P180_PBO,0,1,0,0,0
239.649,34.038,-31.665,36.453,0.3,0.3,-0.009,3,true,P610_PBO,0,1,0,0,0
242.9,34.039,-18.89,19.999,0.83,0.86,-0.062,21,true,P235_PBO,0,1,0,0,0
244.773,34.04,-0.711,1.039,1.83,1.76,0.091,8,true,P211_PBO,0,1,0,0,0
242.116,34.042,-22.178,24.849,1.4,1.18,-0.093,4,true,P244_PBO,0,1,0,0,0
245.519,34.044,-0.91,1.221,1.21,0.99,-0.031,1,true,P218_PBO,0,1,0,0,0
241.354,34.059,-28.523,29.879,0.87,0.9,-0.059,22,true,SLID_PBO,0,1,0,0,0
242.734,34.063,-21.669,23.495,1.54,1.75,-0.117,21,true,P240_PBO,0,1,0,0,0
253.033,34.068,-0.824,-1.161,0.8,0.7,0.006,1,true,Z264_GPS,0,1,0,0,0
241.558,34.069,-27.226,27.771,0.86,0.89,-0.06,22,true,P547_PBO,0,1,0,0,0
241.767,34.072,-26.954,24.505,0.3,0.3,-0.004,4,true,P458_PBO,0,1,0,0,0
242.47,34.077,-23.348,25.685,1.17,1.2,-0.065,16,true,P233_PBO,0,1,0,0,0
241.891,34.089,-24.239,24.478,1.19,1.21,-0.03,4,true,P251_PBO,0,1,0,0,0
242.647,34.089,-22.069,22.249,0.96,0.99,-0.046,16,true,P672_PBO,0,1,0,0,0
241.587,34.095,-28.377,26.224,0.566,0.572,-0.014,22,true,BBID_PBO,0,1,0,0,0
242.474,34.104,-23.951,22.688,0.2,0.2,-0.013,16,true,P720_PBO,0,1,0,0,0
241.063,34.11,-29.156,30.321,0.3,0.2,-0.008,22,true,P104_PBO,0,1,0,0,0
242.311,34.121,-23.962,22.612,1.07,1.11,-0.049,16,true,P238_PBO,0,1,0,0,0
243.63,34.124,-7.045,11.662,0.2,0.2,-0.012,6,true,P042_PBO,0,1,0,0,0
242.104,34.126,-25.493,23.838,0.652,0.555,-0.007,4,true,P459_PBO,0,1,0,0,0
241.486,34.126,-27.254,28.011,0.3,0.3,-0.006,22,true,P683_PBO,0,1,0,0,0
241.793,34.129,-27.186,24.512,1.15,1.17,-0.034,22,true,P541_PBO,0,1,0,0,0
242.246,34.133,-24.824,23.004,0.57,0.574,-0.013,16,true,TUF1_PBO,0,1,0,0,0
